cliente_id,nome_cliente
1,Alfa Consulting 001
2,Beta Consulting 002
3,Gamma Consulting 003
4,Delta Consulting 004
5,Omega Consulting 005
6,Nova Consulting 006
7,Vertex Consulting 007
8,Prime Consulting 008
9,Global Consulting 009
10,Apex Consulting 010
11,Orion Consulting 011
12,Nexus Consulting 012
13,Alfa Solutions 013
14,Beta Solutions 014
15,Gamma Solutions 015
16,Delta Solutions 016
17,Omega Solutions 017
18,Nova Solutions 018
19,Vertex Solutions 019
20,Prime Solutions 020
21,Global Solutions 021
22,Apex Solutions 022
23,Orion Solutions 023
24,Nexus Solutions 024
25,Alfa Partners 025
26,Beta Partners 026
27,Gamma Partners 027
28,Delta Partners 028
29,Omega Partners 029
30,Nova Partners 030
31,Vertex Partners 031
32,Prime Partners 032
33,Global Partners 033
34,Apex Partners 034
35,Orion Partners 035
36,Nexus Partners 036
37,Alfa Group 037
38,Beta Group 038
39,Gamma Group 039
40,Delta Group 040
41,Omega Group 041
42,Nova Group 042
43,Vertex Group 043
44,Prime Group 044
45,Global Group 045
46,Apex Group 046
47,Orion Group 047
48,Nexus Group 048
49,Alfa Advisory 049
50,Beta Advisory 050
51,Gamma Advisory 051
52,Delta Advisory 052
53,Omega Advisory 053
54,Nova Advisory 054
55,Vertex Advisory 055
56,Prime Advisory 056
57,Global Advisory 057
58,Apex Advisory 058
59,Orion Advisory 059
60,Nexus Advisory 060
61,Alfa Systems 061
62,Beta Systems 062
63,Gamma Systems 063
64,Delta Systems 064
65,Omega Systems 065
66,Nova Systems 066
67,Vertex Systems 067
68,Prime Systems 068
69,Global Systems 069
70,Apex Systems 070
71,Orion Systems 071
72,Nexus Systems 072
73,Alfa Holding 073
74,Beta Holding 074
75,Gamma Holding 075
76,Delta Holding 076
77,Omega Holding 077
78,Nova Holding 078
79,Vertex Holding 079
80,Prime Holding 080
81,Global Holding 081
82,Apex Holding 082
83,Orion Holding 083
84,Nexus Holding 084
85,Alfa Capital 085
86,Beta Capital 086
87,Gamma Capital 087
88,Delta Capital 088
89,Omega Capital 089
90,Nova Capital 090
91,Vertex Capital 091
92,Prime Capital 092
93,Global Capital 093
94,Apex Capital 094
95,Orion Capital 095
96,Nexus Capital 096
97,Alfa Services 097
98,Beta Services 098
99,Gamma Services 099
100,Delta Services 100
101,Omega Services 101
102,Nova Services 102
103,Vertex Services 103
104,Prime Services 104
105,Global Services 105
106,Apex Services 106
107,Orion Services 107
108,Nexus Services 108
109,Alfa Tech 109
110,Beta Tech 110
111,Gamma Tech 111
112,Delta Tech 112
113,Omega Tech 113
114,Nova Tech 114
115,Vertex Tech 115
116,Prime Tech 116
117,Global Tech 117
118,Apex Tech 118
119,Orion Tech 119
120,Nexus Tech 120
121,Alfa Business 121
122,Beta Business 122
123,Gamma Business 123
124,Delta Business 124
125,Omega Business 125
126,Nova Business 126
127,Vertex Business 127
128,Prime Business 128
129,Global Business 129
130,Apex Business 130
131,Orion Business 131
132,Nexus Business 132
133,Alfa Associati 133
134,Beta Associati 134
135,Gamma Associati 135
136,Delta Associati 136
137,Omega Associati 137
138,Nova Associati 138
139,Vertex Associati 139
140,Prime Associati 140
141,Global Associati 141
142,Apex Associati 142
143,Orion Associati 143
144,Nexus Associati 144
145,Alfa Consulting 145
146,Beta Consulting 146
147,Gamma Consulting 147
148,Delta Consulting 148
149,Omega Consulting 149
150,Nova Consulting 150
151,Vertex Consulting 151
152,Prime Consulting 152
153,Global Consulting 153
154,Apex Consulting 154
155,Orion Consulting 155
156,Nexus Consulting 156
157,Alfa Solutions 157
158,Beta Solutions 158
159,Gamma Solutions 159
160,Delta Solutions 160
161,Omega Solutions 161
162,Nova Solutions 162
163,Vertex Solutions 163
164,Prime Solutions 164
165,Global Solutions 165
166,Apex Solutions 166
167,Orion Solutions 167
168,Nexus Solutions 168
169,Alfa Partners 169
170,Beta Partners 170
171,Gamma Partners 171
172,Delta Partners 172
173,Omega Partners 173
174,Nova Partners 174
175,Vertex Partners 175
176,Prime Partners 176
177,Global Partners 177
178,Apex Partners 178
179,Orion Partners 179
180,Nexus Partners 180
181,Alfa Group 181
182,Beta Group 182
183,Gamma Group 183
184,Delta Group 184
185,Omega Group 185
186,Nova Group 186
187,Vertex Group 187
188,Prime Group 188
189,Global Group 189
190,Apex Group 190
191,Orion Group 191
192,Nexus Group 192
193,Alfa Advisory 193
194,Beta Advisory 194
195,Gamma Advisory 195
196,Delta Advisory 196
197,Omega Advisory 197
198,Nova Advisory 198
199,Vertex Advisory 199
200,Prime Advisory 200
201,Global Advisory 201
202,Apex Advisory 202
203,Orion Advisory 203
204,Nexus Advisory 204
205,Alfa Systems 205
206,Beta Systems 206
207,Gamma Systems 207
208,Delta Systems 208
209,Omega Systems 209
210,Nova Systems 210
211,Vertex Systems 211
212,Prime Systems 212
213,Global Systems 213
214,Apex Systems 214
215,Orion Systems 215
216,Nexus Systems 216
217,Alfa Holding 217
218,Beta Holding 218
219,Gamma Holding 219
220,Delta Holding 220
221,Omega Holding 221
222,Nova Holding 222
223,Vertex Holding 223
224,Prime Holding 224
225,Global Holding 225
226,Apex Holding 226
227,Orion Holding 227
228,Nexus Holding 228
229,Alfa Capital 229
230,Beta Capital 230
231,Gamma Capital 231
232,Delta Capital 232
233,Omega Capital 233
234,Nova Capital 234
235,Vertex Capital 235
236,Prime Capital 236
237,Global Capital 237
238,Apex Capital 238
239,Orion Capital 239
240,Nexus Capital 240
241,Alfa Services 241
242,Beta Services 242
243,Gamma Services 243
244,Delta Services 244
245,Omega Services 245
246,Nova Services 246
247,Vertex Services 247
248,Prime Services 248
249,Global Services 249
250,Apex Services 250
251,Orion Services 251
252,Nexus Services 252
253,Alfa Tech 253
254,Beta Tech 254
255,Gamma Tech 255
256,Delta Tech 256
257,Omega Tech 257
258,Nova Tech 258
259,Vertex Tech 259
260,Prime Tech 260
261,Global Tech 261
262,Apex Tech 262
263,Orion Tech 263
264,Nexus Tech 264
265,Alfa Business 265
266,Beta Business 266
267,Gamma Business 267
268,Delta Business 268
269,Omega Business 269
270,Nova Business 270
