fornitore_id,nome,categoria_servizio,zona
1,Talent Partners,Risk Management,Sud
2,HR Consulting Group,Risk Management,Nord
3,Executive Search Italia,Finance,Sud
4,Recruiting Solutions,IT,Sud
5,Career Advisory,IT,Sud
6,Alpha Talent Network,Compliance,Nord
7,People First Consulting,Risk Management,Nord
8,Global Recruitment Services,Sales,Nord
9,Strategic Search Partners,Compliance,Centro
10,NextGen Talent Advisors,Finance,Nord
11,Talent Partners,IT,Centro
12,HR Consulting Group,IT,Sud
13,Executive Search Italia,Compliance,Nord
14,Recruiting Solutions,Finance,Sud
15,Career Advisory,Finance,Centro
16,Alpha Talent Network,Risk Management,Centro
17,People First Consulting,Sales,Sud
18,Global Recruitment Services,IT,Sud
19,Strategic Search Partners,Compliance,Sud
20,NextGen Talent Advisors,Finance,Nord
21,Talent Partners,Finance,Nord
22,HR Consulting Group,IT,Nord
23,Executive Search Italia,Compliance,Nord
24,Recruiting Solutions,Sales,Centro
25,Career Advisory,Risk Management,Centro
26,Alpha Talent Network,Risk Management,Centro
27,People First Consulting,IT,Centro
28,Global Recruitment Services,Compliance,Centro
29,Strategic Search Partners,Compliance,Sud
30,NextGen Talent Advisors,Compliance,Sud
31,Talent Partners,Risk Management,Nord
32,HR Consulting Group,Compliance,Centro
33,Executive Search Italia,Risk Management,Nord
34,Recruiting Solutions,IT,Centro
35,Career Advisory,IT,Centro
36,Alpha Talent Network,Sales,Nord
37,People First Consulting,Finance,Sud
38,Global Recruitment Services,Risk Management,Nord
39,Strategic Search Partners,Compliance,Nord
40,NextGen Talent Advisors,Compliance,Centro
41,Talent Partners,IT,Nord
42,HR Consulting Group,Sales,Nord
43,Executive Search Italia,IT,Centro
44,Recruiting Solutions,Finance,Sud
45,Career Advisory,Compliance,Sud
46,Alpha Talent Network,Risk Management,Sud
47,People First Consulting,Sales,Nord
48,Global Recruitment Services,Risk Management,Nord
49,Strategic Search Partners,Compliance,Nord
50,NextGen Talent Advisors,IT,Nord
51,Talent Partners,IT,Centro
52,HR Consulting Group,Finance,Nord
53,Executive Search Italia,Finance,Sud
54,Recruiting Solutions,Compliance,Nord
55,Career Advisory,Sales,Nord
56,Alpha Talent Network,Risk Management,Sud
57,People First Consulting,Finance,Sud
58,Global Recruitment Services,Risk Management,Sud
59,Strategic Search Partners,Compliance,Nord
60,NextGen Talent Advisors,Sales,Centro
61,Talent Partners,Compliance,Sud
62,HR Consulting Group,Finance,Sud
63,Executive Search Italia,Compliance,Centro
64,Recruiting Solutions,Finance,Nord
65,Career Advisory,Compliance,Centro
66,Alpha Talent Network,Risk Management,Sud
67,People First Consulting,IT,Sud
68,Global Recruitment Services,Compliance,Nord
69,Strategic Search Partners,Risk Management,Nord
70,NextGen Talent Advisors,Sales,Centro
71,Talent Partners,Risk Management,Sud
72,HR Consulting Group,Compliance,Centro
73,Executive Search Italia,Sales,Nord
74,Recruiting Solutions,Finance,Centro
75,Career Advisory,Sales,Centro
76,Alpha Talent Network,Compliance,Sud
77,People First Consulting,Risk Management,Sud
78,Global Recruitment Services,Sales,Sud
79,Strategic Search Partners,Sales,Sud
80,NextGen Talent Advisors,Finance,Nord
81,Talent Partners,Finance,Centro
82,HR Consulting Group,IT,Sud
83,Executive Search Italia,Risk Management,Centro
84,Recruiting Solutions,Sales,Centro
85,Career Advisory,Risk Management,Nord
86,Alpha Talent Network,Sales,Centro
87,People First Consulting,IT,Centro
88,Global Recruitment Services,Risk Management,Nord
89,Strategic Search Partners,Finance,Nord
90,NextGen Talent Advisors,Risk Management,Sud
91,Talent Partners,Finance,Centro
92,HR Consulting Group,Finance,Sud
93,Executive Search Italia,IT,Sud
94,Recruiting Solutions,Compliance,Centro
95,Career Advisory,Sales,Sud
96,Alpha Talent Network,Risk Management,Nord
